Latitude	Longitude	LULC	drainage density	geomorphology	Soil	Slope	Raninfall	Lithology	lineament density
24.49	88.58	14	0.178446	21	5	1.98599	1335.5	9	0.162931
26.2	88.88	14	0.075371	57	5	1.40459	2067.59	21	0.026797
26.04	88.82	14	0.019847	53	5	2.40791	2077.48	21	0
26.27	88.37	12	0.11623	69	5	2.18069	2619.44	19	0.05705
26.24	88.48	14	0.010238	68	5	2.47901	2476.14	19	0.030712
26.26	88.57	14	0.113225	74	5	1.73686	2260.65	19	0.140066
26.25	88.64	12	0.21778	60	5	7.19001	2248.86	19	0.13191
26.17	88.65	12	0.067711	62	5	3.66477	2172.96	19	0.02567
26.27	88.72	14	0.199261	63	5	1.70315	2212.98	21	0.092272
26.36	88.68	12	0.103502	71	5	3.04472	2300.76	19	0.081112
26.47	88.44	12	0.20679	87	5	2.45554	2610.57	19	0.182623
26.59	88.41	12	0.158977	101	5	1.22833	3019.13	19	0.161631
25.9	89.21	19	0.105541	39	5	1.40459	2011.68	15	0.282359
26.11	88.43	12	0.11879	63	5	2.40791	2321.68	19	0.026521
24.41	88.52	3	0.085395	19	5	1.44529	1273.04	9	0.240298
24.14	89.15	14	0	15	5	0.761852	1431.98	9	0.029095
23.87	89.45	19	0.115311	2	5	0	1309.22	15	0.210984
26.2	88.61	14	0.040269	66	5	0.481854	2228.61	19	0.00073
26.19	88.75	12	0.165448	59	5	0.761852	2154.25	21	0.081553
26.41	88.65	14	0.067478	77	5	2.40791	2372.1	19	0.078239
25.96	88.51	14	0.017632	55	5	1.44529	2081.63	19	0.054414
26.02	88.46	12	0.169153	54	5	4.86678	2190.91	19	0.048858
24.98	89.26	14	0.129769	17	5	1.22833	1560.31	2	0.09156
24.43	88.49	14	0.107233	21	3	3.22903	1269.59	2	0.082798
24.51	88.32	12	0.132864	29	3	0.340727	1264.65	2	0.333817
24.52	88.38	14	0	38	3	1.52343	1256.35	2	0
24.79	89.26	14	0.089421	23	3	2.15395	1499.63	2	0.044482
24.66	89.45	14	0.06924	15	3	0.963641	1499.28	9	0.034344
